url,is_russian,is_kyrgyz_x,is_english,is_unknown,is_unreachable_x,is_no_language,other_lang,is_slavic,is_kyrgyz_y,is_other_central_asian,is_caucasian,is_other,is_no_people,is_unreachable_y,most_recommended_demographic
https://www.youtube.com/watch?v=1RFEp1eMPYk,f,f,f,f,f,f,deleted,,,,,,,,child
https://www.youtube.com/watch?v=uXAtWZ7RNAc,f,f,t,f,f,f,,f,f,f,f,f,t,f,child
https://www.youtube.com/watch?v=JVtJbWeIU68,f,f,t,f,f,f,,f,f,f,f,t,f,f,child
https://www.youtube.com/watch?v=CUSNCcrJveU,f,f,f,f,f,t,,f,f,f,f,f,t,f,mixed
https://www.youtube.com/watch?v=r7bJyF4uyrQ,f,f,f,t,f,f,,f,f,f,f,f,t,f,mixed
https://www.youtube.com/watch?v=QXglaxD5fag,t,f,f,f,f,f,,f,f,f,f,f,t,f,child
https://www.youtube.com/watch?v=xadxg5GdDHo,f,f,f,f,f,f,kazakh,f,f,t,f,f,f,f,mixed
https://www.youtube.com/watch?v=zncjz5HuQmo,f,t,f,f,f,f,,f,t,f,f,f,f,f,adult
https://www.youtube.com/watch?v=Pm2YPsR5EDo,t,f,f,f,f,f,,t,f,f,f,f,f,f,mixed
https://www.youtube.com/watch?v=aIGz57tkaxE,t,f,f,f,f,f,,f,f,f,f,f,t,f,adult
https://www.youtube.com/watch?v=tZHVXqAkp6E,t,f,f,f,f,f,,t,f,f,f,f,f,f,adult
https://www.youtube.com/watch?v=Tq_Fcq-yPVU,f,f,t,f,f,f,,f,f,f,f,f,t,f,mixed
https://www.youtube.com/watch?v=znDaM9dJCOc,f,f,f,f,f,f,deleted,,,,,,,,child
https://www.youtube.com/watch?v=XHeRLTLGsoA,f,f,f,t,f,f,,f,f,f,f,t,f,f,mixed
https://www.youtube.com/watch?v=RJJ3j1dfD8s,t,f,f,f,f,f,,t,f,f,f,f,f,f,child
https://www.youtube.com/watch?v=HXVORQAiQ5c,t,f,f,f,f,f,,f,f,f,f,f,t,f,adult
https://www.youtube.com/watch?v=4uATxr4eGZk,t,f,f,f,f,f,,f,f,f,f,f,t,f,mixed
https://www.youtube.com/watch?v=Q6NNOI2z54g,f,t,f,f,f,f,,f,t,f,f,f,f,f,mixed
https://www.youtube.com/watch?v=EbTK_tle0KM,f,f,f,t,f,f,,f,f,f,f,f,t,f,mixed
https://www.youtube.com/watch?v=RE_AhUD2Bsw,f,f,f,f,f,t,,f,f,f,f,f,t,f,mixed
https://www.youtube.com/watch?v=U-huNDG64zc,t,f,f,f,f,f,,t,f,f,f,f,f,f,adult
https://www.youtube.com/watch?v=gtTPHqB4dHc,t,f,f,f,f,f,,f,f,f,f,f,t,f,adult
https://www.youtube.com/watch?v=5yvC5VtwgqI,t,f,f,f,f,f,,f,f,f,f,f,t,f,adult
https://www.youtube.com/watch?v=hM9baCy5p2M,f,f,t,f,f,f,,f,f,f,f,f,t,f,mixed
https://www.youtube.com/watch?v=ghncuOlO50Q,f,t,f,f,f,f,,f,t,f,f,t,f,f,adult
https://www.youtube.com/watch?v=Jat_AVaPiVE,f,f,f,f,f,f,deleted,,,,,,,,child
https://www.youtube.com/watch?v=oiOKDE-1jyU,f,f,f,f,f,t,,f,f,f,f,f,t,f,child
https://www.youtube.com/watch?v=dDwL_P9A5D4,t,f,f,f,f,f,,f,f,f,f,f,t,f,child
https://www.youtube.com/watch?v=qVzZY5mZLYI,f,f,f,f,f,t,,f,f,f,f,f,t,f,child
https://www.youtube.com/watch?v=2twBpbUl2lE,f,f,f,f,f,t,,f,f,f,f,f,t,f,child
https://www.youtube.com/watch?v=svpYDD_VAG4,f,f,t,f,f,f,korean,f,f,f,f,t,f,f,mixed
https://www.youtube.com/watch?v=414jqvZfnEI,t,f,f,f,f,f,,f,f,f,f,f,t,f,adult
https://www.youtube.com/watch?v=NN6HgMUM_x8,f,f,t,f,f,f,,f,f,f,f,f,t,f,mixed
https://www.youtube.com/watch?v=PuUGsoZoEnk,f,f,f,f,f,t,,f,f,f,f,f,t,f,mixed
https://www.youtube.com/watch?v=tD_-d87uO7k,t,f,f,f,f,f,,t,f,f,f,f,f,f,adult
https://www.youtube.com/watch?v=HkzFDcO7Qok,t,f,t,f,f,f,,f,f,f,f,f,t,f,adult
https://www.youtube.com/watch?v=69vjOlF_ftM,f,f,f,f,f,f,uzbek,f,f,t,f,f,f,f,mixed
https://www.youtube.com/watch?v=U6czGlnjKEQ,f,f,t,f,f,f,,f,f,f,f,f,t,f,mixed
https://www.youtube.com/watch?v=-Cvn2cwNrS8,t,f,f,f,f,f,,f,f,f,f,f,t,f,mixed
https://www.youtube.com/watch?v=_YQCIPUSyNU,f,f,f,f,f,f,Kazakh,f,f,t,f,f,f,f,adult
https://www.youtube.com/watch?v=fo-zlKL5XSs,f,t,f,f,f,f,,f,t,f,f,f,f,f,mixed
