channel_alias,rank,title,url,video_id,view_count,like_count,comment_count,published_at
soviet,1,Обезьянки мультфильм —  все серии подряд  [HD],https://www.youtube.com/watch?v=a2K2l02C9As,a2K2l02C9As,119257493,140358,0,2014-07-21T09:12:29Z
soviet,2,Сказки Сутеева - Мешок яблок | Мультики для малышей,https://www.youtube.com/watch?v=rgSNmapyrHw,rgSNmapyrHw,116137694,167883,0,2012-08-02T04:35:36Z
soviet,3,Простоквашино Все серии подряд [HD],https://www.youtube.com/watch?v=pXD3txG2bVQ,pXD3txG2bVQ,96003485,170028,0,2014-07-09T06:11:54Z
soviet,4,Винни Пух — Все серии подряд [HD],https://www.youtube.com/watch?v=7G_fYgW5Tys,7G_fYgW5Tys,85945740,105684,0,2014-07-23T10:22:11Z
soviet,5,"Ну, погоди! - Все серии подряд Часть 2 [HD]",https://www.youtube.com/watch?v=_ASgfPn7Ap4,_ASgfPn7Ap4,73519181,104009,20,2015-03-14T07:30:01Z
soviet,6,Песни из мультфильмов - Чунга-чанга из м/ф ''Катерок'',https://www.youtube.com/watch?v=tSq9jJwi7rM,tSq9jJwi7rM,66769814,118292,0,2014-04-22T09:38:27Z
soviet,7,"Антошка, Два веселых гуся, Рыжий - конопатый и др. Все серии подряд [HD]",https://www.youtube.com/watch?v=-9Hn0B_Ojuo,-9Hn0B_Ojuo,63159718,61635,0,2014-07-27T06:52:28Z
soviet,8,"Ну, погоди! Все серии - Ну, погоди! - Выпуск 16",https://www.youtube.com/watch?v=J0Z8r3_29xo,J0Z8r3_29xo,61081594,72022,105,2012-04-25T00:49:07Z
soviet,9,Сказки для детей - Волк и семеро козлят,https://www.youtube.com/watch?v=--Ro2t4VV6k,--Ro2t4VV6k,52134387,61983,0,2012-05-02T13:51:42Z
soviet,10,Бременские музыканты - Музыкальный мультфильм,https://www.youtube.com/watch?v=d7NpFhucGbg,d7NpFhucGbg,49921329,76617,69,2013-06-10T19:42:53Z
soviet,11,Ничего на свете лучше нету! Бременские музыканты,https://www.youtube.com/watch?v=x2VGBNjxDgk,x2VGBNjxDgk,44024073,151614,0,2013-06-24T11:56:28Z
