language,feature,label,n,mean,median,std,min,max
russian,mean_saturation,Mean Color Saturation,177,109.24316550925926,110.25675238715276,44.63384290780374,1.4859375,237.97720377604168
russian,mean_luminance,Mean Luminance (Brightness),177,151.41001766558446,156.68341579861112,48.50326681168844,31.360206163194444,245.46883138020837
russian,saturation_std,Saturation Variability,177,67.07404145096821,67.61324512908163,17.684620814733975,9.743784110191228,103.84339032901956
russian,luminance_std,Luminance Variability,177,67.23563524083144,66.88242301530548,15.260244236255465,13.274967986587315,107.00610381919712
russian,red_ratio,Red/Orange Pixel Ratio,177,0.2652816378459144,0.2418196614583333,0.17504225330142525,0.0,0.8680946180555555
russian,blue_ratio,Blue Pixel Ratio,177,0.14059249695935339,0.0649247685185185,0.16980910177872863,0.0,0.9153917100694444
russian,yellow_ratio,Yellow Pixel Ratio,177,0.05994035387568002,0.0268880208333333,0.09109108194993187,0.0,0.5526909722222222
kyrgyz,mean_saturation,Mean Color Saturation,182,96.21072030924081,89.99946668836805,40.7924553588625,2.4126323784722223,200.56189344618056
kyrgyz,mean_luminance,Mean Luminance (Brightness),182,121.56963990400514,127.28734917534722,41.62448874077344,22.798646918402778,217.80141167534725
kyrgyz,saturation_std,Saturation Variability,182,65.1388410661429,64.8101475050552,17.475361122302143,8.379480127741123,105.33720730249344
kyrgyz,luminance_std,Luminance Variability,182,70.659260333958,69.84641801970795,15.246645116192573,23.502377613174,109.38682003277248
kyrgyz,red_ratio,Red/Orange Pixel Ratio,182,0.22000297301078553,0.18999710648148144,0.16415585039867236,0.0,0.9196462673611112
kyrgyz,blue_ratio,Blue Pixel Ratio,182,0.182241950215583,0.13186686197916664,0.18459502508376255,0.0,0.8742730034722223
kyrgyz,yellow_ratio,Yellow Pixel Ratio,182,0.046109626593024984,0.02170193142361105,0.07604856567307856,0.0,0.600318287037037
english,mean_saturation,Mean Color Saturation,173,116.24360757156859,114.97537109375,44.45690926239057,8.22869212962963,234.980810546875
english,mean_luminance,Mean Luminance (Brightness),173,158.67539367532044,166.47685221354166,47.15439135744484,33.645060763888885,235.55517144097223
english,saturation_std,Saturation Variability,173,69.7169729338828,71.96120048438769,17.25929535898465,8.317223508449969,115.10600760646432
english,luminance_std,Luminance Variability,173,66.4947973132344,66.7778792933304,17.53759098702566,29.93840475485992,102.8811810228416
english,red_ratio,Red/Orange Pixel Ratio,173,0.2513626716040462,0.2210774739583333,0.18433548872039357,0.0001812065972222,0.849384765625
english,blue_ratio,Blue Pixel Ratio,173,0.1654605503037358,0.0863823784722222,0.20595334937489873,1.0850694444444443e-05,0.9695909288194444
english,yellow_ratio,Yellow Pixel Ratio,173,0.0639726901192196,0.0321809895833333,0.09412007661863098,0.0,0.7277094184027778
